2180607024,KTLT,10
2180607283,THCB,8
2180608771,KTLT,7
2180601955,THCB,4
2180607323,PLDC,3
2180602020,KTLT,8
2180604525,THCB,9
2180607368,THCB,8
2180602077,KTLT,10
2180608363,THCB,8
2180607456,KTLT,8
2180607154,TA,10
2180607527,PLDC,9
2180607541,KTLT,10
2180607559,THCB,8
2180607110,KTLT,8
2180607564,TA,8
2180607588,THCB,10
2180602557,KTLT,8
2180607758,TA,9
2180600973,PLDC,10
2180607802,THCB,8
2180607824,PLDC,8
2180607874,KTLT,10
2180607177,TA,9
2180609103,PLDC,8
2180606988,KTLT,9
2180603599,PLDC,10
2180604694,KTLT,9
2180607921,TA,10
2180609236,KTLT,10
2180607961,THCB
2180608011,TA,8
2180608961,PLDC,9
2180608120,THCB,10
2180604454,TA,8
2180609145,KTLT,9
2180607143,KTLT,8
2180608209,TA,9
2180603744,KTLT,9
